epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,709.06,0.49585,0.49574,0.98503,0.94126,0.93423,0.94924,0.89034,0.40515,0.37055,0.89335,0.000327091,0.000327091,0.000327091
43,725.465,0.50613,0.53636,1.00888,0.95754,0.92949,0.94818,0.89082,0.38819,0.36595,0.88833,0.000326044,0.000326044,0.000326044
44,741.983,0.52927,0.54345,1.02579,0.95524,0.93558,0.94829,0.88821,0.3792,0.34959,0.88533,0.000324997,0.000324997,0.000324997
45,758.42,0.50461,0.51134,1.01333,0.95524,0.93558,0.94829,0.88821,0.3792,0.34959,0.88533,0.000323951,0.000323951,0.000323951
46,774.896,0.50079,0.50676,1.00852,0.96694,0.93605,0.95254,0.88885,0.40592,0.34827,0.88315,0.000322904,0.000322904,0.000322904
47,791.25,0.52009,0.51133,1.02171,0.96694,0.93605,0.95254,0.88885,0.40592,0.34827,0.88315,0.000321858,0.000321858,0.000321858
48,807.926,0.50073,0.4886,1.02509,0.96155,0.93706,0.95337,0.89088,0.39732,0.32945,0.87738,0.000320811,0.000320811,0.000320811
49,824.688,0.48299,0.46302,0.98644,0.95108,0.93969,0.95448,0.89843,0.3755,0.31271,0.87183,0.000319765,0.000319765,0.000319765
50,841.384,0.4744,0.45919,1.00416,0.95108,0.93969,0.95448,0.89843,0.3755,0.31271,0.87183,0.000318718,0.000318718,0.000318718
51,858.167,0.49937,0.4815,0.97664,0.96486,0.93005,0.95488,0.90055,0.37478,0.32323,0.87387,0.000317671,0.000317671,0.000317671
52,874.958,0.48713,0.44816,0.99181,0.94599,0.93502,0.95413,0.90181,0.37844,0.33199,0.85892,0.000316625,0.000316625,0.000316625
53,891.66,0.46027,0.45319,0.99235,0.94599,0.93502,0.95413,0.90181,0.37844,0.33199,0.85892,0.000315578,0.000315578,0.000315578
54,908.488,0.4867,0.47818,0.99151,0.95858,0.94745,0.9545,0.90034,0.35202,0.30744,0.85596,0.000314532,0.000314532,0.000314532
55,924.853,0.46922,0.43373,0.97453,0.95858,0.94745,0.9545,0.90034,0.35202,0.30744,0.85596,0.000313485,0.000313485,0.000313485
56,941.294,0.49658,0.44659,0.98793,0.95505,0.94325,0.95428,0.90318,0.37367,0.31625,0.85541,0.000312439,0.000312439,0.000312439
57,958.122,0.49576,0.4527,1.01925,0.94092,0.95189,0.95443,0.90849,0.35695,0.31449,0.84851,0.000311392,0.000311392,0.000311392
58,974.719,0.45812,0.42987,0.98282,0.94092,0.95189,0.95443,0.90849,0.35695,0.31449,0.84851,0.000310345,0.000310345,0.000310345
59,991.425,0.48911,0.46093,0.98822,0.96048,0.95006,0.95694,0.90802,0.34823,0.30136,0.8488,0.000309299,0.000309299,0.000309299
60,1009.18,0.4727,0.44384,0.98693,0.96489,0.9475,0.95744,0.90965,0.34466,0.30595,0.85222,0.000308252,0.000308252,0.000308252
61,1025.99,0.46681,0.42617,0.98252,0.96489,0.9475,0.95744,0.90965,0.34466,0.30595,0.85222,0.000307206,0.000307206,0.000307206
62,1043.01,0.45478,0.40118,0.96943,0.94888,0.9514,0.95607,0.90854,0.349,0.29933,0.84414,0.000306159,0.000306159,0.000306159
63,1059.36,0.44643,0.41719,0.96278,0.94888,0.9514,0.95607,0.90854,0.349,0.29933,0.84414,0.000305113,0.000305113,0.000305113
64,1075.98,0.47846,0.42573,1.01379,0.95382,0.9447,0.95494,0.90996,0.34715,0.29103,0.8419,0.000304066,0.000304066,0.000304066
65,1092.82,0.44806,0.40401,0.97336,0.95408,0.94624,0.957,0.9133,0.35724,0.28491,0.8553,0.000303019,0.000303019,0.000303019
66,1109.45,0.45557,0.4108,0.96955,0.95408,0.94624,0.957,0.9133,0.35724,0.28491,0.8553,0.000301973,0.000301973,0.000301973
67,1126.15,0.43824,0.39533,0.95867,0.96942,0.94703,0.95919,0.91867,0.34803,0.27393,0.84885,0.000300926,0.000300926,0.000300926
68,1142.95,0.44783,0.39106,0.96356,0.96819,0.93904,0.95967,0.91412,0.34685,0.28582,0.84016,0.00029988,0.00029988,0.00029988
69,1159.38,0.44245,0.39619,0.96607,0.96819,0.93904,0.95967,0.91412,0.34685,0.28582,0.84016,0.000298833,0.000298833,0.000298833
70,1175.81,0.4601,0.4502,0.992,0.96077,0.95032,0.95903,0.91679,0.33684,0.2831,0.83339,0.000297787,0.000297787,0.000297787
71,1192.1,0.43767,0.3959,0.96364,0.96077,0.95032,0.95903,0.91679,0.33684,0.2831,0.83339,0.00029674,0.00029674,0.00029674
